Name,Role,Image URL,Profile URL,Foreign Player,Credit,Full Name
KL Rahul,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/1125 ,False,9,KL Rahul
Jake Fraser-McGurk,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/20720 ,True,6.5,J Fraser-McGurk
Karun Nair,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/276 ,False,6.5,KK Nair
Faf du Plessis,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/24 ,True,9.5,F du Plessis
Donovan Ferreira,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/5652 ,True,6.5,D Ferreira
Abishek Porel,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/33333 ,False,7.5,Abhishek Porel
Tristan Stubbs,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/20631 ,True,7.5,T Stubbs
Axar Patel,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/1113 ,False,8.5,AR Patel
Sameer Rizvi,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/20689 ,False,6,Sameer Rizvi
Ashutosh Sharma,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/20703 ,False,7,Ashutosh Sharma
Darshan Nalkande,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/4447 ,False,6,
Vipraj Nigam,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/22053 ,False,7,V Nigam
Ajay Mandal,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/5811 ,False,5.5,
Manvanth Kumar,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/22086 ,False,5
Tripurana Vijay,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/22252 ,False,5.5
Madhav Tiwari,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/22259 ,False,5
Mitchell Starc,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/490 ,True,9,MA Starc
T. Natarajan,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/3831 ,False,6.5,T Natarajan
Mohit Sharma,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/1107 ,False,7,MM Sharma
Mukesh Kumar,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/5622 ,False,7.5,Mukesh Kumar
Dushmantha Chameera,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/817 ,True,6,PVD Chameera
Kuldeep Yadav,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/delhi-capitals/squad-details/261 ,False,8.5,Kuldeep Yadav
