Name,Role,Image URL,Profile URL,Foreign Player,Credit,Full Name
Shubman Gill,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/3761 ,False,9,Shubman Gill
Jos Buttler,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/509 ,True,9,JC Buttler
Kumar Kushagra,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/20694 ,False,5.5,Kumar Kushagra
Anuj Rawat,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/10788 ,False,6,Anuj Rawat
Sherfane Rutherford,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/5396 ,True,7.5,SE Rutherford
Nishant Sindhu,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/5615 ,False,5.5,
Mahipal Lomror,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/2970 ,False,6,MK Lomror
Washington Sundar,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/2973 ,False,8,Washington Sunder
Mohd. Arshad Khan,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/20599 ,False,6.5,Arshad Khan
Sai Kishore,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/7123 ,False,7,R Sai Kishore
Jayant Yadav,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/1740 ,False,6,J Yadav
Karim Janat,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/22139 ,True,6,
Sai Sudharsan,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/20592 ,False,9,B Sai Sudharsan
Dasun shanaka,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/1095 ,True,6,MD Shanaka
Shahrukh Khan,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/7779 ,False,6.5,M Shahrukh Khan
Kagiso Rabada,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/1664 ,True,7.5,K Rabada
Mohammed Siraj,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/3840 ,False,8.5,Mohammed Siraj
Prasidh Krishna,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/5105 ,False,9,M Prasidh Krishna
Manav Suthar,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/20692 ,False,5.5,
Gerald Coetzee,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/20686 ,True,6.5,G Coetzee
Gurnoor Singh Brar,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/1094 ,False,5.5,
Ishant Sharma,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/38 ,False,7,I Sharma
Kulwant Khejroliya,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/3835 ,False,6.5K Khejroliya
Rahul Tewatia,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/1749 ,False,7.5,R Tewatia
Rashid Khan,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/gujarat-titans/squad-details/2885 ,True,8,Rashid Khan
