Name,Role,Image URL,Profile URL,Foreign Player,Credit Points,Full Name
Rohit Sharma,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/107 ,False,8.5,RG Sharma
Surya Kumar Yadav,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/108 ,False,9,SA Yadav
Robin Minz,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/20707 ,False,6,R Minz
Ryan Rickelton,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/22003 ,True,8,RD Rickelton
Shrijith Krishnan,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/22057 ,False,5,K Shrijith
Bevon Jacobs,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/22174 ,True,6,B Jacobs
N. Tilak Varma,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/20594 ,False,8.5,Tilak Varma
Hardik Pandya,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/2740 ,False,9,HH Pandya
Naman Dhir,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/20701 ,False,7,Naman Dhir
Will Jacks,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/5629 ,True,7,WG Jacks
Mitchell Santner,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/1903 ,True,7.5,MJ Santner
Raj Angad Bawa,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/20601 ,False,5.5,RA Bawa
Vignesh Puthur,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/22266 ,False,6.5,V Puthur
Corbin Bosch,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/20680 ,True,6
Trent Boult,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/969 ,True,8,TA Boult
Karn Sharma,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/1118 ,False,6.5,KV Sharma
Deepak Chahar,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/140 ,False,7,DL Chahar
Ashwani Kumar,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/22030 ,False,6.5,Ashwani Kumar
Reece Topley,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/5607 ,True,6,R Topley
V.Satyanarayana Penmetsa,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/22161 ,False,6,PVSN Raju
Arjun Tendulkar,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/10244 ,False,5,A Tendulkar
Mujeeb-ur-Rahman,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/4572 ,True,6,Mujeeb ur Rahman
Jasprit Bumrah,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/mumbai-indians/squad-details/1124 ,False,9,JJ Bumrah
