Name,Role,Image URL,Profile URL,Foreign Player,Credit Points,Full Name
Sanju Samson,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/258 ,False,9,SV Samson
Shubham Dubey,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/20688 ,False,6,SB Dubey
Vaibhav Suryavanshi,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/22203 ,False,5.5,V Suryavanshi
Kunal Rathore,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/5763 ,False,5,KS Rathore
Shimron Hetmyer,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/1705 ,True,8,SO Hetmyer
Yashasvi Jaiswal,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/13538 ,False,9,YBK Jaiswal
Dhruv Jurel,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/20620 ,False,8,Dhruv Jurel
Riyan Parag,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/4445 ,False,8.5,R Parag
Nitish Rana,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/2738 ,False,7.5,N Rana
Yudhvir Singh Charak,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/10842 ,False,6.5,Yudhvir Singh
Jofra Archer,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/3502 ,True,8.5,JC Archer
Maheesh Theekshana,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/20570 ,True,7.5,M Theekshana
Wanindu Hasaranga,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/3082 ,True,7.5,PWH de Silva
Akash Madhwal,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/20681 ,False,6,A Madhwal
Kumar Kartikeya Singh,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/20629 ,False,6.5,K Kartikeya
Tushar Deshpande,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/3257 ,False,7,TU Deshpande
Fazalhaq Farooqi,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/20610 ,True,6.5,Fazalhaq Farooqi
Kwena Maphaka,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/20724 ,True,5.5,K Maphaka
Ashok Sharma,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/20584 ,False,5,A Sharma
Sandeep Sharma,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/rajasthan-royals/squad-details/1112 ,False,7,Sandeep Sharma
