Name,Role,Image URL,Profile URL,Foreign Player,Credit Points,Full Name
Rajat Patidar,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/5471 ,False,8.5, RM Patidar
Virat Kohli,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/164 ,False,9,V Kohli
Phil Salt,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/5606 ,True,9,PD Salt
Jitesh Sharma,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/3185 ,False,7.5,JM Sharma
Devdutt Padikkal,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/5430 ,False,7.5,D Padikkal
Swastik Chhikara,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/20711 ,False,5.5,SS Chhikara
Liam Livingstone,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/3644 ,True,7,LS Livingstone
Krunal Pandya,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/3183 ,False,8,KH Pandya
Swapnil Singh,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/3180 ,False,6,S Singh
Tim David,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/4524 ,True,7.5,TH David
Romario Shepherd,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/20609 ,True,6.5,R Shepherd
Manoj Bhandage,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/5645 ,False,6,MS Bhandage
Jacob Bethell,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/22074 ,True,6.5,JG Bethell
Josh Hazlewood,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/857 ,True,8.5,JR Hazlewood
Rasikh Dar,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/20577 ,False,6.5,Rasikh Salam
Suyash Sharma,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/5668 ,False,6,Suyash Sharma
Bhuvneshwar Kumar,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/116 ,False,8,B Kumar
Nuwan Thushara,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/20700 ,True,6.5,N Thushara
Lungisani Ngidi,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/3746 ,True,6.5,L Ngidi
Abhinandan Singh,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/22136 ,False,5,A Singh
Mohit Rathee,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/5856 ,False,5.5,M Rathee
Yash Dayal,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/royal-challengers-bengaluru/squad-details/20591 ,False,7.5,Y Dayal
