Name,Role,Image URL,Profile URL,Foreign Player,credits,Full Name
MS Dhoni,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/1 ,False,7.5,MS Dhoni
Dewald Brevis,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/20593 ,True,6.5,D Brevis
Devon Conway,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/20572 ,True,7,DP Conway
Rahul Tripathi,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/3838 ,False,5.5,R Tripathi
Shaik Rasheed,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/5612 ,False,6,SK Rasheed
Vansh Bedi,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/22006 ,False,5
Andre Siddarth,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/22022 ,False,5
Ayush Mhatre,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/22377 ,False,6.5,A Mhatre 
Rachin Ravindra,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/20684 ,True,7,R Ravindra
Ravichandran Ashwin,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/8 ,False,7,R Ashwin
Vijay Shankar,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/1083 ,False,5.5,V Shankar
Sam Curran,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/2939 ,True,6.5,SM Curran
Anshul Kamboj,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/20702 ,False,6.5,A Kamboj
Deepak Hooda,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/1556 ,False,6,DJ Hooda
Jamie Overton,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/22109 ,True,6,J Overton
Kamlesh Nagarkoti,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/3766 ,False,7
Ramakrishna Ghosh,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/22153 ,False,5
Ravindra Jadeja,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/9 ,False,8,RA Jadeja
Shivam Dube,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/5431 ,False,8,S Dube
Khaleel Ahmed,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/2964 ,False,8,KK Ahmed
Noor Ahmad,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/20590 ,True,8.5,Noor Ahmad
Mukesh Choudhary,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/20575 ,False,8,Mukesh Choudhary
Nathan Ellis,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/17118 ,True,8,NT Ellis
Shreyas Gopal,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/20696 ,False,6,S Gopal
Matheesha Pathirana,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/chennai-super-kings/squad-details/20627 ,True,8,M Pathirana
