Name,Role,Image URL,Profile URL,Foreign Player,Credits,Full Name
Ajinkya Rahane,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/135 ,False,8.5,AM Rahane
Rinku Singh,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/3830 ,False,7,RK Singh
Quinton de Kock,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/834 ,True,7.5,Q de Kock
Rahmanullah Gurbaz,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/20625 ,True,6.5,Rahmanullah Gurbaz
Angkrish Raghuvanshi,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/20690 ,False,7,A Raghuvanshi
Rovman Powell,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/3333 ,True,6.5,R Powell
Manish Pandey,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/123 ,False,6.5,MK Pandey
Luvnith Sisodia,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/20613 ,False,5.5
Venkatesh Iyer,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/8540 ,False,7.5,VR Iyer
Anukul Roy,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/3774 ,False,,AS Roy
Moeen Ali,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/1735 ,True,7,MM Ali
Ramandeep Singh,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/20595 ,False,7,Ramandeep Singh
Andre Russell,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/177 ,True,7.5,AD Russell
Anrich Nortje,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/5433 ,True,7,A Nortje
Vaibhav Arora,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/14859 ,False,7.5,VG Arora
Mayank Markande,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/4951 ,False,6,M Markande
Spencer Johnson,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/20699 ,True,6.5,SH Johnson
Harshit Rana,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/20626 ,False,8,Harshit Rana
Sunil Narine,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/203 ,True,9,SP Narine
Varun Chakaravarthy,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/5432 ,False,8.5,CV Varun
Chetan Sakariya,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/kolkata-knight-riders/squad-details/11062 ,False,5.5,C Sakariya
