Name,Role,Image URL,Profile URL,Foreign Player,Credit,Full Name
Rishabh Pant,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/2972 ,False,6.5,RR Pant
David Miller,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/187 ,True,7,DA Miller
Aiden Markram,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/1667 ,True,8,AK Markram
Aryan Juyal,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/20596 ,False,5.5
Himmat Singh,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/5434 ,False,5.5
Matthew Breetzke,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/22375 ,True,6
Nicholas Pooran,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/1703 ,True,9,N Pooran
Mitchell Marsh,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/221 ,True,9,MR Marsh
Abdul Samad,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/19352 ,False,6.5,Abdul Samad 
Shahbaz Ahamad,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/13803 ,False,6.5,Shahbaz Ahmed
Yuvraj Chaudhary,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/22124 ,False,5
Rajvardhan Hangargekar,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/20571 ,False,5.5,RS Hangargekar
Arshin Kulkarni,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/20691 ,False,5.5
Ayush Badoni,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/20586 ,False,8,A Badoni
Shardul Thakur,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/1745 ,False,7.5,SN Thakur
Avesh Khan,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/1561 ,False,7.5,Avesh Khan
Akash Deep,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/14800 ,False,6.5,Akash Deep
M. Siddharth,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/7119 ,False,6,M Siddharth
Digvesh Singh,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/5847 ,False,7,DS Rathi
Akash Singh,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/12585 ,False,5.5,Akash Singh
Shamar Joseph,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/20719 ,True,6
Prince Yadav,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/22097 ,False,7,Prince Yadav
Mayank Yadav,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/20585 ,False,7,MP Yadav
Ravi Bishnoi,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/lucknow-super-giants/squad-details/19351 ,False,8,Ravi Bishnoi
