Name,Role,Image URL,Profile URL,Foreign Player,Credits,Full Name
Shreyas Iyer,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/1563 ,False,9,SS Iyer
Nehal Wadhera,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/5859 ,False,7.5,N Wadhera
Vishnu Vinod,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/4305 ,False,6,Vishnu Vinod
Josh Inglis,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/22372 ,True,7,JP Inglis
Harnoor Pannu,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/22019 ,False,5
Pyla Avinash,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/22145 ,False,5
Prabhsimran Singh,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/5436 ,False,8,P Simran Singh
Shashank Singh,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/3261 ,False,7,Shashank Singh
Marcus Stoinis,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/964 ,True,7,MP Stoinis
Harpreet Brar,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/5441 ,False,7,Harpreet Brar
Marco Jansen,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/17068 ,True,8,M Jansen
Azmatullah Omarzai,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/20685 ,True,6.5,Azmatullah Omarzai
Priyansh Arya,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/22052 ,False,8.5,Priyansh Arya
Aaron Hardie,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/22076 ,True,6
Musheer Khan,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/22085 ,False,5.5
Suryansh Shedge,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/20683 ,False,5.5,Suryansh Shedge
Arshdeep Singh,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/4698 ,False,8.5,Arshdeep Singh
Yuzvendra Chahal,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/111 ,False,8.5,YS Chahal
Vyshak Vijaykumar,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/1097 ,False,6.5,Vijaykumar Vyshak
Yash Thakur,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/5624 ,False,6,Yash Thakur
Lockie Ferguson,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/3729 ,True,,LH Ferguson
Kuldeep Sen,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/20616 ,False,5.5,KR Sen
Xavier Bartlett,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/22112 ,True,6.5,XC Bartlett
Pravin Dubey,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/punjab-kings/squad-details/3188 ,False,5.5,P Dubey

