Name,Role,Image URL,Profile URL,Foreign Player,Credits,Full Name
Ishan Kishan,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/2975 ,False,7,Ishan Kishan
Atharva Taide,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/20603 ,False,5,Atharva Taide
Abhinav Manohar,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/20589 ,False,6,A Manohar
Aniket Verma,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/22082 ,False,7,Aniket Verma
Sachin Baby,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/1115 ,False,5,
Smaran Ravichandran,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/22378 ,False,5,
Heinrich Klaasen,WK-Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/3869 ,True,9,H Klaasen
Travis Head,Batter,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/1020 ,True,7.5,TM Head
Harshal Patel,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/157 ,False,8.5,HV Patel
Kamindu Mendis,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/22077 ,True,7,PHKD Mendis
Wiaan Mulder,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/22376 ,True,6.5,PWA Mulder
Abhishek Sharma,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/3760 ,False,9,Abhishek Sharma
Nitish Kumar Reddy,All-Rounder,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/5711 ,False,7.5,Nithish Kumar Reddy
Pat Cummins,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/488 ,True,8.5,Pat Cummins
Mohammad Shami,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/94 ,False,8,Mohammad Shami
Rahul Chahar,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/3763 ,False,6,RD Chahar
Simarjeet Singh,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/10789 ,False,6.5,Simarjeet Singh
Zeeshan Ansari,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/22007 ,False,6.5,Zeeshan Ansari
Jaydev Unadkat,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/86 ,False,6.5,JD Unadkat
Eshan Malinga,Bowler,,https://www.iplt20.comhttps://www.iplt20.com/teams/sunrisers-hyderabad/squad-details/22228 ,True,7,E Malinga
